id,name,email,address,amount_spent,city,country,spending_category
595617,Jason Sharp,jenkinssharon@hotmail.com,"37706 Johnson Junction, North Sharonchester, Alabama, 18631, Lao People's Democratic Republic",12323.8,North Sharonchester,Lao People's Democratic Republic,Very High
652801,Sarah Miller,harmonstacy@medina.com,"083 Castro Mills, Lake John, Minnesota, 46746, Estonia",12322.27,Lake John,Estonia,Very High
854920,James Watkins,laurie75@hotmail.com,"35065 Jeffrey Fields, Lake Brittany, Texas, 50813, Algeria",12316.2,Lake Brittany,Algeria,Very High
458269,Cynthia Whitaker,goldenwilliam@medina-lewis.com,"650 Martin Garden, Jessicamouth, New York, 77059, Christmas Island",12284.51,Jessicamouth,Christmas Island,Very High
775275,Bryan Willis PhD,johnmason@gmail.com,"041 Michelle Mission, Lake Rebecca, California, 88566, British Virgin Islands",12234.43,Lake Rebecca,British Virgin Islands,Very High
288335,Dennis Ruiz,walkerrichard@spencer-mcclure.org,"61475 Erika Club, West Angela, Alabama, 58457, Netherlands",12112.63,West Angela,Netherlands,Very High
590923,Robert Yang,seanpotts@yahoo.com,"10079 Michelle Landing, Gregoryland, Ohio, 19046, Fiji",12094.4,Gregoryland,Fiji,Very High
192349,Thomas Edwards,lsullivan@martinez.com,"6988 Richard Ports, Jamieville, Utah, 11101, Liberia",12030.62,Jamieville,Liberia,Very High
948594,David Harding,creynolds@simmons.com,"5603 Nelson Ports, Lisaville, Oklahoma, 22418, Paraguay",12007.83,Lisaville,Paraguay,Very High
530644,Matthew Clay,uwang@diaz.com,"92522 Wendy Stream, Christopherbury, Georgia, 48044, Northern Mariana Islands",11999.05,Christopherbury,Northern Mariana Islands,Very High
954362,Jeffrey Munoz,geraldfitzgerald@nguyen.com,"046 Kayla Meadow, Jerryburgh, South Dakota, 59601, Gambia",11862.42,Jerryburgh,Gambia,Very High
239005,Dr. Ronald Salinas,xgraham@mayo-smith.info,"23439 Herbert Underpass, Pierceburgh, Massachusetts, 00590, Nauru",11832.8,Pierceburgh,Nauru,Very High
105393,Colin Davis,gblack@munoz-higgins.biz,"67053 Webster Gateway, Lake Brentshire, Oregon, 97430, Kiribati",11808.73,Lake Brentshire,Kiribati,Very High
365382,Kevin Landry DDS,melissa81@yahoo.com,"304 Stephen Mission, Andersonton, Minnesota, 80140, Greece",11681.11,Andersonton,Greece,Very High
549391,Katherine Good,irwinjacob@yahoo.com,"762 Ferguson Cape, Jamestown, Georgia, 96910, Malawi",11624.25,Jamestown,Malawi,Very High
851072,Christina Hogan,allisonquinn@robertson.com,"900 David Field, East Harold, South Carolina, 11242, Liberia",11535.36,East Harold,Liberia,Very High
497832,Christina Reed,westrobert@gmail.com,"1161 Nicole Trail, Erinchester, New Hampshire, 10694, Iceland",11224.4,Erinchester,Iceland,Very High
205175,Brenda Johnson,grantchristopher@yahoo.com,"813 Chapman Club, South Anthony, Iowa, 89733, Philippines",11182.88,South Anthony,Philippines,Very High
117868,Dorothy Green,davidford@hotmail.com,"34664 Julie Knolls, Caseychester, Colorado, 22543, Tuvalu",11181.9,Caseychester,Tuvalu,Very High
521903,Mr. Peter Dickson,penastephanie@yahoo.com,"75343 Jasmine Forks, New Ryan, Oklahoma, 17074, Luxembourg",10896.26,New Ryan,Luxembourg,Very High
582104,Jenna Daniels,cookjeremy@jones.com,"43616 Haynes Heights, Mariaborough, South Dakota, 36467, Sudan",10888.11,Mariaborough,Sudan,Very High
473740,Stacy Aguilar,lisa94@rogers.com,"259 Felicia Spurs, Mendozafurt, California, 95672, Afghanistan",10777.14,Mendozafurt,Afghanistan,Very High
347332,Shannon Robinson,debrawelch@hotmail.com,"032 Wood Crossroad, Lake Julia, Tennessee, 19151, Uganda",10660.74,Lake Julia,Uganda,Very High
445654,Andrea Watkins,velasquezcharles@yahoo.com,"35814 Smith Mountains, Kruegerville, Virginia, 58316, Luxembourg",10610.64,Kruegerville,Luxembourg,Very High
377862,Danielle Avery,ydaniels@gmail.com,"85178 Long Manors, Mcfarlandhaven, Montana, 22333, Chile",10526.17,Mcfarlandhaven,Chile,Very High
126209,Laura Rich,millerrhonda@snyder-johnson.com,"4465 Ronnie Spring, Port Monicabury, Pennsylvania, 28378, Tonga",10423.98,Port Monicabury,Tonga,Very High
279559,David Williamson,steven34@hotmail.com,"05530 Alexis Forges, Port Heather, Texas, 60415, Philippines",10314.28,Port Heather,Philippines,Very High
383754,Danny Hull,kclark@yahoo.com,"553 Gregory Tunnel, South Barbara, Washington, 09145, Tunisia",10154.07,South Barbara,Tunisia,Very High
257792,Ashlee Sheppard,llucas@greene-riley.com,"6750 Young Crossing, Morseside, Arkansas, 21535, Solomon Islands",10127.29,Morseside,Solomon Islands,Very High
996837,Maria Andrews,geraldreyes@peters.com,"43243 Stephanie Shoals, North Michael, Washington, 77263, Greenland",10077.97,North Michael,Greenland,Very High
104865,Courtney Stone,jennifer31@hotmail.com,"617 Gill Parkway, Blaketon, Mississippi, 47829, Azerbaijan",10069.73,Blaketon,Azerbaijan,Very High
857388,Debra Wood,seangill@diaz-jones.com,"378 Dyer Vista, South Nicole, Illinois, 59590, Pakistan",9791.66,South Nicole,Pakistan,High
940349,Thomas Romero,imcconnell@gmail.com,"93212 Kristin Loaf, Steventown, Pennsylvania, 95390, Bhutan",9781.47,Steventown,Bhutan,High
458242,Michael Schroeder,samanthafloyd@hotmail.com,"2435 Martinez Route, Karenfort, North Carolina, 60364, Mozambique",9575.89,Karenfort,Mozambique,High
622344,Lisa Lee,james27@yahoo.com,"54843 Linda Mills, Sandrafurt, Missouri, 50681, Syrian Arab Republic",9520.49,Sandrafurt,Syrian Arab Republic,High
194775,Alison Williams,paige08@yahoo.com,"587 Riddle Curve, South Colleenside, New York, 03115, Philippines",9513.84,South Colleenside,Philippines,High
560082,Joshua Hunter,christopherwhite@yahoo.com,"51136 Henson Crossroad, Richardsberg, Montana, 61867, Estonia",9349.62,Richardsberg,Estonia,High
990246,Toni Thompson,lmartinez@holt.info,"479 Pruitt Vista, Smithberg, Illinois, 15903, Cape Verde",9250.73,Smithberg,Cape Verde,High
624023,Diana Willis,maxwelltimothy@gmail.com,"904 Phillip Extension, West Destinyside, Alabama, 95785, Korea",9217.37,West Destinyside,Korea,High
123334,Carrie Moore,cameronjames@turner-case.com,"1501 Brown Mountain, Florestown, Ohio, 21464, Suriname",9155.33,Florestown,Suriname,High
542012,Valerie Cruz,evanssarah@gmail.com,"8212 Kenneth Mission, East Coryview, West Virginia, 69988, Solomon Islands",9031.47,East Coryview,Solomon Islands,High
651894,Sean Harmon,colonwesley@gmail.com,"995 Sims Rue, Michaelshire, New Hampshire, 64421, Bahrain",8979.28,Michaelshire,Bahrain,High
718042,Wanda Jackson,thomasturner@hotmail.com,"42490 Sheri Light, Murphyberg, South Carolina, 05309, Moldova",8896.11,Murphyberg,Moldova,High
388198,Stephanie Hunter,knoble@lopez.com,"4403 Arnold Port, Thompsonport, Idaho, 57433, Turkmenistan",8872.03,Thompsonport,Turkmenistan,High
786832,Craig Collins,sanchezstephen@hotmail.com,"2815 Sharp Oval, North Catherineview, Indiana, 22678, Reunion",8814.45,North Catherineview,Reunion,High
830393,Tracey Thompson,cindymartin@yahoo.com,"5619 Jessica Tunnel, Kevinshire, California, 92705, Israel",8813.02,Kevinshire,Israel,High
480529,Daniel Lucero,timothyblair@garcia.info,"10167 Robert Oval, Heathmouth, Wisconsin, 08700, Timor-Leste",8737.48,Heathmouth,Timor-Leste,High
363789,Steven Brown,victoriasanchez@yahoo.com,"716 Bradshaw Plaza, Dennisfort, Nebraska, 42511, American Samoa",8691.28,Dennisfort,American Samoa,High
110929,Christopher Joyce,barnesjerry@hotmail.com,"01338 Laura Village, North Matthewfort, Georgia, 56652, Sao Tome and Principe",8563.44,North Matthewfort,Sao Tome and Principe,High
777076,Elizabeth Montes,nrobinson@gmail.com,"921 Hayes Square, Erikaborough, Idaho, 97291, Mali",8542.51,Erikaborough,Mali,High
405283,Jorge Boyd,beanbrian@yahoo.com,"00029 Jones Lodge, South Leslieberg, California, 63012, Kyrgyz Republic",8496.41,South Leslieberg,Kyrgyz Republic,High
272412,Shannon Atkinson,zrichardson@yahoo.com,"46383 Heather Manors, Merritttown, Arkansas, 90868, Palestinian Territory",8381.79,Merritttown,Palestinian Territory,High
965020,Lisa Payne,stewartgary@gmail.com,"90313 Bennett Club, North Deborah, Wisconsin, 52948, Burundi",8325.48,North Deborah,Burundi,High
692689,Jessica Adams,smithsheryl@hanson.biz,"956 Shane Station, North Shelly, Georgia, 04534, Dominica",8288.46,North Shelly,Dominica,High
352422,Jerry Harrison,nmoyer@yahoo.com,"6906 Hampton Knolls, Lake Robert, Minnesota, 44208, Netherlands",8199.8,Lake Robert,Netherlands,High
518727,Ashley Norris,rjohnson@yahoo.com,"84204 Medina Divide, Jaredside, New Mexico, 72678, Togo",8198.68,Jaredside,Togo,High
935182,Ashley Martinez,kellyluna@burns.com,"28243 Brewer Falls, Williamsview, Rhode Island, 93989, Denmark",8056.86,Williamsview,Denmark,High
287981,Marie Baker,dianakennedy@gmail.com,"189 Baxter Highway, Lake Davidhaven, Wyoming, 87120, Korea",8056.11,Lake Davidhaven,Korea,High
496511,Kenneth Lee,caseyblevins@matthews.com,"067 Hodges Key, Vargasside, Maine, 64304, Micronesia",8031.83,Vargasside,Micronesia,High
402251,Jack Mcdonald,daniellegarcia@yahoo.com,"9560 Scott Inlet, Courtneyburgh, Iowa, 51728, Seychelles",7983.44,Courtneyburgh,Seychelles,High
395185,Kimberly Davis,robinsonadam@cain.net,"480 Dennis Causeway, Ryanshire, Rhode Island, 92958, Congo",7966.67,Ryanshire,Congo,High
241540,George Padilla,taylor01@yahoo.com,"93210 Fitzpatrick Isle, Gonzaleztown, North Dakota, 38819, Tanzania",7900.03,Gonzaleztown,Tanzania,High
629866,Rebecca Webb,osmith@yahoo.com,"4779 Austin Pike, Cliffordside, Louisiana, 98928, Maldives",7851.19,Cliffordside,Maldives,High
459208,Amber Wells,bsteele@yahoo.com,"939 Kevin Stravenue, New Rogershire, Connecticut, 76080, Sudan",7749.47,New Rogershire,Sudan,High
388868,James Oconnell,sullivanalexandra@gmail.com,"96509 Cole Junction, Johnfurt, Colorado, 22129, Uruguay",7505.13,Johnfurt,Uruguay,High
432974,Alvin Butler,rebeccatownsend@johnson.com,"69626 Joseph Rest, Steventon, Tennessee, 19989, Bangladesh",7451.03,Steventon,Bangladesh,High
674279,Cheryl Wilson,kyleburns@graham.com,"7405 Kevin Union, Codyview, Washington, 37490, Pitcairn Islands",7103.44,Codyview,Pitcairn Islands,High
724687,David Mcgee,zvasquez@hotmail.com,"5746 Robert Loop, Benjamintown, North Dakota, 28069, Argentina",7066.42,Benjamintown,Argentina,High
709888,Dawn Chan,vmartinez@yahoo.com,"24996 Emily Spurs, Joyborough, Indiana, 23100, Georgia",6804.78,Joyborough,Georgia,High
817747,Jessica Price,aaron45@yahoo.com,"078 Jose Highway, Coxshire, Missouri, 35923, Liechtenstein",6761.1,Coxshire,Liechtenstein,High
346222,Laura Griffith,luispierce@thomas.com,"39563 Spears Walks, Murraytown, Louisiana, 03084, Egypt",6699.16,Murraytown,Egypt,High
570028,Ronnie Graham,theresa90@hotmail.com,"82051 David Ridges, East Marcusstad, Washington, 12763, Botswana",6679.34,East Marcusstad,Botswana,High
681001,Steven Morris,helen60@wright.net,"97233 Moss Well, Lauramouth, Alabama, 92735, Pitcairn Islands",6661.83,Lauramouth,Pitcairn Islands,High
866005,Brian Barber,erin38@hotmail.com,"8274 Reed Well, Mcdowellside, Indiana, 11837, Norfolk Island",6661.54,Mcdowellside,Norfolk Island,High
582319,Jeffrey Rodriguez,laurarose@gmail.com,"0354 Garner Road, Lake Victoria, Georgia, 62702, Norway",6625.25,Lake Victoria,Norway,High
627516,Stacy Wilson,adamroberts@mendoza.com,"6775 Kemp Motorway, New Patrick, New Jersey, 61987, India",6624.09,New Patrick,India,High
311406,Leslie Mills,xburch@hotmail.com,"51887 Bates Pass, Barronmouth, Montana, 28079, Egypt",6618.99,Barronmouth,Egypt,High
219798,Holly Glass,kevinrichardson@hanson-proctor.org,"96969 Davis Fort, Ericaberg, Louisiana, 28660, Reunion",6573.06,Ericaberg,Reunion,High
105931,Richard Smith,uortiz@yahoo.com,"3438 Carlos Garden, Port Christophershire, Ohio, 18612, Pitcairn Islands",6423.28,Port Christophershire,Pitcairn Islands,High
855701,Michael Kent,obrown@kerr.biz,"39114 Bray Row, Jacksonview, Mississippi, 34232, Barbados",6393.72,Jacksonview,Barbados,High
140563,Tyrone Collins,phamdeanna@gmail.com,"0261 Brianna Harbor, East Sarahmouth, Maine, 14953, Finland",6355.76,East Sarahmouth,Finland,High
909179,Michael Pugh,denise09@dean.com,"02387 Phillips Port, North David, Iowa, 74237, Ecuador",6340.71,North David,Ecuador,High
509318,Deborah Rodriguez,ymoody@gmail.com,"2648 Perry Centers, Andreaborough, Tennessee, 67917, Benin",6326.83,Andreaborough,Benin,High
919289,Zachary Davis,erica82@yahoo.com,"55414 Fisher Valleys, Lake Ashley, Arkansas, 15296, Pakistan",6318.72,Lake Ashley,Pakistan,High
938645,Andrea Williams,johnsondavid@garcia.com,"1185 Robert Keys, Andersonstad, Nebraska, 96365, Comoros",6231.86,Andersonstad,Comoros,High
663233,Frank Ortiz,fostersteven@gmail.com,"269 Alexandra Route, Timothyton, Louisiana, 98579, Maldives",6148.32,Timothyton,Maldives,High
260597,Antonio Burton,campbellgabrielle@stanley.org,"6813 Michael Valleys, Kingburgh, Minnesota, 90398, Panama",6142.4,Kingburgh,Panama,High
220529,Kelly Livingston,carrie72@yahoo.com,"378 Brown Union, Andreaberg, Louisiana, 80123, Burkina Faso",6136.34,Andreaberg,Burkina Faso,High
427232,Matthew Silva,abigail06@gmail.com,"67253 Murphy Fort, Millerview, Virginia, 86430, Lesotho",6064.26,Millerview,Lesotho,High
724124,Donna Rodgers,scottortiz@hotmail.com,"197 Summers Club, South Denise, Missouri, 87067, Guatemala",6051.64,South Denise,Guatemala,High
457067,Keith Wright,johnsonvirginia@richmond.info,"91874 Amanda Island, West Danielborough, Pennsylvania, 37725, Cameroon",6038.58,West Danielborough,Cameroon,High
492425,Deborah Ross,mayangela@robles.com,"834 Misty Estate, Sheilaborough, Alaska, 36483, French Southern Territories",5958.81,Sheilaborough,French Southern Territories,High
728696,Mitchell Flores,michelle18@gmail.com,"9391 Simmons Field, Taylorborough, Virginia, 88948, Vanuatu",5876.19,Taylorborough,Vanuatu,High
266379,Beverly Mills,nicole32@bell.com,"547 Guzman Light, Hardyburgh, Alaska, 98794, Chile",5749.23,Hardyburgh,Chile,High
676985,Timothy Brock,olsengina@hotmail.com,"425 Hansen Turnpike, Lydiaberg, Oklahoma, 09839, Guyana",5644.13,Lydiaberg,Guyana,High
971638,Emily Travis,janetgrimes@gmail.com,"13353 Samuel Mountain, Lake Andrew, Iowa, 23895, Senegal",5504.41,Lake Andrew,Senegal,High
475269,Patrick Hoffman,jessejackson@ramirez-jacobs.com,"6169 Yu Run, Simsview, Hawaii, 24835, United Arab Emirates",5272.3,Simsview,United Arab Emirates,High
116359,Timothy Madden,kevin84@bradley.biz,"509 Dwayne Square, Port Kenneth, Florida, 15674, Sao Tome and Principe",5186.93,Port Kenneth,Sao Tome and Principe,High
275418,Angela Wilkinson,hooverrobert@romero.biz,"451 Benjamin Mission, Jasonchester, North Carolina, 10000, Finland",5027.01,Jasonchester,Finland,High
630844,Tanya Wilson,osbornetina@farmer.com,"6490 Rhonda Isle, Rowlandland, Wisconsin, 17289, Uganda",5004.46,Rowlandland,Uganda,High
946743,Laura Lopez,alyssa11@anderson.net,"98643 Amber Station, West Jesuschester, Utah, 89638, Tokelau",4888.73,West Jesuschester,Tokelau,Medium
596444,Cheryl Nguyen,alexahancock@fowler.biz,"44603 Webb Unions, Cindytown, Louisiana, 22298, Falkland Islands (Malvinas)",4750.76,Cindytown,Falkland Islands (Malvinas),Medium
153349,Jacob Wilcox,felicia61@taylor.info,"4515 James Lake, Johnton, New Mexico, 40092, Saint Lucia",4697.53,Johnton,Saint Lucia,Medium
838834,Christopher Cox,kinglaura@tapia-montoya.com,"2227 Donna Squares, Port Richardhaven, Indiana, 03835, Venezuela",4683.08,Port Richardhaven,Venezuela,Medium
367749,Maria Robinson,millerchristopher@hotmail.com,"6637 Michael Flat, Rachelstad, Montana, 06708, Papua New Guinea",4152.47,Rachelstad,Papua New Guinea,Medium
718449,April Rubio,kimmurray@potts-cruz.com,"091 Christine Canyon, New Samanthashire, Missouri, 25310, India",4098.41,New Samanthashire,India,Medium
333578,Emily Collins,sandovalryan@hotmail.com,"1860 Emily Spur, Port Debbie, Massachusetts, 91838, Eritrea",3875.94,Port Debbie,Eritrea,Medium
288270,Thomas Fox,brandyberg@white-klein.com,"376 Lopez Corners, New Johnfort, South Dakota, 68067, Reunion",3826.04,New Johnfort,Reunion,Medium
177098,Joseph Rivera,taylorlaura@gmail.com,"62778 Glenn Common, Jasonton, Alabama, 60141, Cameroon",3800.52,Jasonton,Cameroon,Medium
605682,Thomas Pierce,kristielopez@bradshaw-hurley.net,"0348 Colon Estates, Huangside, Maryland, 01728, Malawi",3689.97,Huangside,Malawi,Medium
249735,David Camacho,jholland@gmail.com,"8616 Willis Street, Lake Gary, Indiana, 69522, Bangladesh",3586.06,Lake Gary,Bangladesh,Medium
596402,Katrina Richardson,john62@brown.biz,"8247 Angela Spring, Gainesmouth, Vermont, 01170, Netherlands",3412.06,Gainesmouth,Netherlands,Medium
513814,Lori Romero,kelly82@yahoo.com,"710 Deanna Passage, Lake Suzannemouth, Washington, 02806, Timor-Leste",3222.97,Lake Suzannemouth,Timor-Leste,Medium
724945,Steven Jones,shawnayork@cobb.com,"14162 Mooney Mountain, Lake Sharonfort, Florida, 40837, Norfolk Island",3109.72,Lake Sharonfort,Norfolk Island,Medium
651498,Christian Willis,denise44@yahoo.com,"787 Nina Harbor, Michaelshire, North Dakota, 08654, Mongolia",2937.46,Michaelshire,Mongolia,Medium
614256,Erica Douglas,wrightmark@burnett.org,"44520 Morris Keys, West Mariaside, Kentucky, 30024, Lebanon",2801.51,West Mariaside,Lebanon,Medium
485350,Robert Stevenson,michael94@smith.com,"935 Harris Summit, Ramosport, New Jersey, 40270, Western Sahara",2738.83,Ramosport,Western Sahara,Medium
758156,Adrienne Ramirez,phall@hotmail.com,"416 Gay Oval, Mayston, Washington, 83872, Madagascar",2615.86,Mayston,Madagascar,Medium
422170,Kylie Howard,stephen55@dominguez.net,"49902 Clark Trail, Coxborough, Connecticut, 87267, Saint Martin",2456.12,Coxborough,Saint Martin,Medium
442509,Austin Clark,kbarton@hotmail.com,"6764 Wong View, South Whitneyview, Kansas, 36588, Cyprus",2217.71,South Whitneyview,Cyprus,Medium
137233,Gregory Dalton,osnyder@hotmail.com,"9980 Summers Club, New Annborough, South Carolina, 12858, United States Minor Outlying Islands",2139.18,New Annborough,United States Minor Outlying Islands,Medium
675737,Kevin Clarke,kchavez@gmail.com,"8450 Ricky Springs, South Megan, Pennsylvania, 49751, Antigua and Barbuda",2123.34,South Megan,Antigua and Barbuda,Medium
471198,Veronica Johnson,eric13@brown-hull.com,"01893 Burnett Harbors, Benjaminshire, Illinois, 74299, Guernsey",2118.34,Benjaminshire,Guernsey,Medium
101987,Carol White,michelle18@brown.com,"5754 Jordan Place, Lake Edwardport, Kansas, 06990, Ireland",2058.11,Lake Edwardport,Ireland,Medium
228247,David Lopez,kennedyamber@edwards-perez.com,"24001 Kevin Mill, North Anthonymouth, New Mexico, 74286, Yemen",1938.41,North Anthonymouth,Yemen,Low
250360,Scott Hoffman,brownchristopher@wright.biz,"19146 Sanders Common, Allenchester, New Hampshire, 84819, Estonia",1900.54,Allenchester,Estonia,Low
958618,Brenda Garrison,gonzalespaul@hotmail.com,"195 Richard Plain, Jonesport, Kentucky, 98537, Barbados",1739.58,Jonesport,Barbados,Low
813113,Alisha Pena,peggybell@oconnor.org,"0604 Christine Mountain, Lake David, Texas, 14324, Tokelau",1738.2,Lake David,Tokelau,Low
458573,Jason Rivas,pwhite@hughes.biz,"796 Kathleen Causeway, Fernandezstad, Maine, 91830, Albania",1732.03,Fernandezstad,Albania,Low
868163,Christopher Pace,ecox@yahoo.com,"35009 Diana Club, East Cole, Arkansas, 51969, Burkina Faso",1641.23,East Cole,Burkina Faso,Low
621772,Nicole Lee,dnichols@gmail.com,"41437 Watson Estate, Lindseyberg, Louisiana, 56153, El Salvador",1581.26,Lindseyberg,El Salvador,Low
444212,Tracy Blackwell,iperry@yahoo.com,"04877 Allen Prairie, Evelynfort, Kansas, 95631, Maldives",1533.05,Evelynfort,Maldives,Low
155683,Mr. Christopher Peck DDS,justin94@hotmail.com,"466 Cassandra Station, Rachelburgh, Utah, 16050, Belarus",1381.03,Rachelburgh,Belarus,Low
179415,Maria Leblanc,taylorrebecca@gmail.com,"928 Laura Vista, West Amanda, California, 81984, Congo",1184.25,West Amanda,Congo,Low
825895,Carla Smith,holly23@cole.com,"28802 Wood Greens, Carrieton, Florida, 61963, Bolivia",1176.45,Carrieton,Bolivia,Low
977739,Jamie Soto,cayala@hotmail.com,"103 Steven Green, Dennisberg, California, 63563, Saint Pierre and Miquelon",1114.87,Dennisberg,Saint Pierre and Miquelon,Low
694346,James Martin,fritzmark@wu.biz,"1269 Jeffrey Corners, Johnfurt, Hawaii, 96723, French Southern Territories",1092.8,Johnfurt,French Southern Territories,Low
759018,Dennis Luna,kochcassandra@yahoo.com,"85143 Saunders Estate, Martinchester, Nebraska, 55347, Ireland",1091.61,Martinchester,Ireland,Low
990025,William Anderson,kguzman@hotmail.com,"664 Davidson Mills, Port Megan, Colorado, 92824, Liberia",1069.76,Port Megan,Liberia,Low
872048,Debra Johnson,stephanielogan@yahoo.com,"822 Wang Rapid, Lake Brian, Illinois, 27083, United States Virgin Islands",1066.65,Lake Brian,United States Virgin Islands,Low
521492,Victor Melendez,stephencampbell@smith.biz,"96769 Angela Fort, Lewisfurt, West Virginia, 08943, Svalbard & Jan Mayen Islands",1051.6,Lewisfurt,Svalbard & Jan Mayen Islands,Low
805836,Michael Martin,tatekyle@yahoo.com,"05625 Joseph Ridges, Melissaport, Kansas, 01734, Zambia",1032.83,Melissaport,Zambia,Low
